,page,part,speaker,speech,year
37,163,1,Mr. BREAUX.," Mr. President, many  Americans  desperately  search  for  years and sometimes for decades at  great economic expense to find their  biological  parents,  siblings,  or chil dren. The problems associated in the  search for lost relatives are unfortu nate and often times unnecessary. For tunately, however, the pains associat ed with the search for a  lost family  member are replaced by the joys of  being reunited.  Several States, including Louisiana,  have made admirable attempts to fa cilitate the reunion of those who have  been separated from  their  relatives.  Many of  these  reunions occur as a  result  of  a  State-by-State  registry.  Every State does not have a registry,  thus, gaps exist that have prevented  the establishment of a comprehensive  national registry.  Today I am pleased to be part of an  effort that will attempt to facilitate  the reunion of perhaps thousands of  Americans who  have  lost  track of  family members. This effort includes  the establishment of a 3 year demon stration project through which biolog ical parents and adult adoptees, and  ",1988
38,176,1,Mr. SIMPSON.," Mr. President, those  items have been cleared on our side of  the aisle.  ",1988
39,176,1,Mr. BYRD.," Mr. President, I  my friend.  I ask unanimous consent that all of  those calendar orders which have been  cleared for indefinite postponement be  indefinitely postponed en bloc.  ",1988
40,176,1,The PRESIDING OFFICER.," With out objection, it is so ordered.  ",1988
41,176,1,Mr. BYRD.,  I move  to  reconsider  that vote.  ,1988
42,176,1,Mr. SIMPSON., I move  motion on the table.  The motion to lay on the table was  agreed to.  ,1988
43,176,1,Mr. BYRD.," Mr. President,  I  ask  unanimous consent  that  the Senate  proceed to the consideration of Calen dar Orders Nos. 511 and 512 seriatim.  ",1988
44,176,1,The PRESIDING OFFICER.," With out objection, it is so ordered.  to lay that  CONVEYANCE OF FRANKFORT  NATIONAL FISH HATCHERY  ",1988
45,176,1,The PRESIDING OFFICER.," The  clerk will report.  The assistant  legislative clerk read  as follows:  A bill <S. 1143) to provide for the convey ance of the Frankfort National Fish Hatch ery to the Commonwealth of Kentucky.  The Senate proceeded  to consider  the bill which had been reported from  the Committee on Environment and  Public Works, with an amendment to  strike all after the enacting clause and  insert in lieu thereof, the following:  SECTION 1. CONVEYANCE OF FISH HATCHERY TO  THE COMMONWEALTH OF KENTUCKY.  Notwithstanding any other provision of  law and within 180 days of the date of en actment of this Act, the Secretary of the In terior shall convey, without reimbursement,  to the Commonwealth of Kentucky, all of  the right, title, and interest, including the  water rights, of the United States in and to  the fish hatchery property located approxi mately 14 miles due north of  the city of  Frankfort  in Franklin County, Kentucky  and known as the Frankfort National Fish  Hatchery, consisting of 114.2 acres, more or  less, of  land  together with any  improve ments and related personal property there on. The property conveyed by this Act shall  be used by  the Kentucky Department of  Fish and Wildlife Resources as a part of the  Kentucky  fishery  resources management  program and if it is used for any other pur pose, title to such property shall revert to  the United States.  SEC. 2. CONVEYANCE OF FISH HATCHERY TO THE  STATE OF NEW HAMPSHIRE.  Notwithstanding any other provision of  law,  the Secretary of  the  Interior shall  convey, without  reimbursement,  to  the  State of New Hampshire no later than De cember 31, 1987, all of the right, title, and  interest of the United States in and to those  improvements and related personal proper ty under the Secretary's jurisdiction, includ ing buildings, structures and equipment, as sociated with  the United States' facility  known as the Berlin National Fish Hatchery  and  located  the northwest corner of  Berlin township, Coos County, New Hamp shire. The improvements and related perin  sonal property conveyed shall be used by  the New Hamsphire Fish and Game Depart ment as a part of the New Hamsphire fish ery resources management program and if  they are used for any other purpose, title to  such property shall revert  to  the United  States.  SEC. 3. CONVEYANCE OF FJSH HATCHERY TO THE  STATE OF WISCONSIN.  Notwithstanding any other provision of  law and within 180 days of the date of en actment of this Act, the Secretary of the In terior shall convey, without rembursement,  to the State of Wisconsin, all of the right,  title, and interest, including the easements  and water rights, of the United States in  and to the fish hatchery property located in  the Town of Lake Mills, Wisconsin, and  known  as  the Lake Mills National Fish  Hatchery, consisting of  the land together  with any improvements and related person al property thereon. The property conveyed  by this Act shall be used by the Wisconsin  Department of Natural Resources as a part  of the Wisconsin fishery resources manage ment program and if it is used for any other  purpose, title to such property shall revert  to the United States.  was  The PRESIDING OFFICER, Are  there further amendments to the bill?  If not, the question is on agreeing to  the substitute amendment.  The  substitute  amendment  agreed to.  ",1988
46,176,1,The PRESIDING OFFICER.," The  question  is on  the engrossment and  third reading of the bill.  The bill was ordered to be engrossed  for a third reading, was read the third  time, and passed.  The title was amended so as to read:  ""A bill to provide for the conveyance  of the Frankfort National Fish Hatch ery  to  the Commonwealth of Ken tucky, and for other purposes"".  OF  LANDS  TO  KI NATIONAL  WILDLIFE  ADDITION  LAUEA  REFUGE  ",1988
47,176,1,The PRESIDING OFFICER.," The  clerk will state the next bill by title.  The assistant legislative clerk read  as follows:  A bill <S. 1193) to add additional lands to  the Kilauea  Point Wildlife Refuge  on  Kauai, Hawaii.  The Senate proceeded  to consider  the bill which had been reported from  the Committee on Environment and  Public Works with an amendment.  On page 2, line 22, strike ""$8,000,000"", and  insert in lieu thereof ""$4,000,000"".  So as to make the bill read:  s. 1193  Be it enacted by the Senate and House of  Representatives of  the  United States of  America in Congress assembled,  SECTION 1. ADDITIONAL LANDS.  (a) AUTHORIZATION.-The Secretary of the  Interior is authorized to acquire certain ad ditional lands adjacent to the Kilauea Point  Wildlife Refuge on Kauai, Hawaii, which  shall become part of  the Kilauea Point  Wildlife Refuge upon acquisition by  the  Secretary.  (b) DESCRIPTION OF LANDS.-The lands to  be acquired pursuant to subsection (a) are< 1) Crater Hill, comprising approximately  101.1 acres; and  (2) Mokolea Point, comprising 37.6 acres.  SEC. 2. CONSTRUCTION OF ACCESS FOOT PATH.  Upon acquisition of the lands described in  section 1, the Secretary of the Interior shall  construct and maintain a fence and access  foot  trails through such lands in order to  provide wildlife protection and public access  to such lands. Any trails constructed pursu ant to this section shall be constructed in a  manner consistent with preserving the wild  and scenic beauty of the wildlife refuge.   SEC. 3. AUTHORIZATION OF FUNDING  There is hereby authorized to be appropri ated  to  the Secretary  of  the  Interior  $4,000,000  to be used to acquire lands and  construct trails pursuant to the provisions  of this Act.  was  amendment  ",1988
48,176,1,The PRESIDING OFFICER., The  question is on agreeing to the commit tee amendment.  The  committee  agreed to.  The bill was ordered to be engrossed  for a third reading and was read the  third time.  ,1988
49,176,1,The PRESIDING OFFICER.," The  bill having been read the third time,  the question is, Shall it pass?  So the bill <S. 1193) was passed.  ",1988
50,176,1,Mr. BYRD.," Mr. President,  I  ask  unanimous consent that it be in order  to move  to reconsider the action on  the two bills en bloc and I ask unani mous consent that the motions to re consider be laid on the table en bloc.  ",1988
51,176,1,The PRESIDING OFFICER.," With out objection, it is so ordered.  REMOVAL OF INJUNCTION OF  SECRECY  ",1988
52,176,1,Mr. BYRD.," As in executive session, I  ask unanimous consent that the  in junction of secrecy be removed from  Amendments to Regulations 47 and 48  of Annex II of the 1966 International  Convention  on Load Lines  (Treaty  Document No. 100-12), transmitted to  the Senate today by the President of  the United States.  I further ask that the treaty be con sidered as having been read the first  time; that it be ref erred, with accom panying papers, to the Committee on  Foreign Relations and ordered to be  printed; and that the President's mes sage be printed in the RECORD.  ",1988
53,176,1,The PRESIDING OFFICER.," With out objection, it is so ordered.  The message of the President is as  follows:  To the Senate of the United States:  I  transmit herewith, for the advice  and consent of the Senate with a view  to acceptance by  the United States,  amendments to regulations 47 and 48  of Annex II of the International Con vention  on Load Lines,  1966. The  report of the Department of State is  also  transmitted for the information  of the Senate in connection with its  consideration of these amendments.  The  International Convention  on  Load Lines establishes uniform princi",1988
54,189,1,Mr. DURBIN.," Mr. Speaker, some of  my colleagues favor Contra aid. Some  of my colleagues favor the peace proc ess, but I do not know a single Member  of Congress who favors waste of tax payers' dollars,  and  the  record  of  Contra aid in this administration is a  record of waste and profiteering.  Last year, as a  result of a Federal  audit, we determined that half of the  humanitarian aid we had sent nomi nally to the Contra forces in Nicara gua ended up in one grocery store in  Honduras,  a  street  corner  grocery  store  in Tegucigalpa, owned by  the  generals in the Honduran army. We  were  not  quite  sure we  got  our  money's worth  in  this humanitarian  assistance.  Last year Secretary of State Shultz  testified  before  the House Budget  Committee and assured me personally  that he could account for the $27 mil lion  in Contra aid which American  taxpayers sent down  before.  there  the year  D 1445  lacl~ of  I exchanged several letters. I do not  have the stack of them to rap on the  podium here as the President did with  the CR the other night. But I wish my  colleagues could see them because as  they would read them they would find  out the Secretary of State could not  provide that information. As the GAO  reported, our State Department has  shown an utter disregard for spending  controls  and  accountability  when it comes to Contra aid.  is  becoming  increasingly  clear  that our Contra aid is being monitored  by Johnny Carson's infamous book keeper ""Loose-Leaf Maurice.""  Now the President wants us to throw  another $36 million in Contra aid into  the dense jungle of waste and profit eering. We cannot afford to waste an other penny of the taxpayers' dollars  to perpetuate Contra folly in Nicara gua. It is time to give peace a chance  and stop squandering tax dollars on  the Contra effort.  It  LEGISLATION TO AMEND  LOW  LEVEL  RADIOACTIVE WASTE  POLICY ACT  <Mr. COLEMAN of Texas asked and  was given permission  to address  the  House for 1 minute and to revise and  extend his remarks.)  ",1988
55,189,1,Mr. COLEMAN of Texas.," Mr. Speak er, I appreciate the opportunity to ad dress the House in support for legisla tion  I  am  today  introducing which  would amend the 1980 Low Level Ra dioactive Waste Policy Act.  This bill would add a section to cur rent law which delegated to the States  responsibility for disposal of low-level  radioactive waste within their respec tive  jurisdictions. A majority of  the  States have formed regional compacts  which then assume control over the  site selection process for  location of  waste disposal facilities as well as all  other tasks associated with the oper ation of the disposal facilities. The for mation  of  these  regional  compacts  must be approved by  the Congress  through legislation.  The State of Texas has elected not  to join a regional compact and has cre ated the Texas Low-Level Radioactive  Waste Disposal Authority to provide a  plan for the disposal of  its low-level  waste.  The effort of the authority in Texas  to select a suitable location for the dis posal facility have raised strong con cerns among west Texans,  the area  most likely to play host to such a facil ity,  in  that political and budgetary  considerations  appear  to  have  had  more  influence  in  the site selection  process than scientific or engineering  factors.  At the present  time,  two  locations  have been selected, both in Hudspeth  County and both  in my district. A  neighboring county, El Paso, has filed  suit  against  the  authority  alleging  that both sites do not meet the siting  criteria spelled out in State law. An in junction has been placed on the au thority preventing any further work  on these two sites while the Texas Su preme Court decides the merits of the  suit. Only last week the Texas court  ruled against the county thus clearing  the way for the final designation of a  site and, in turn, spawning a new cycle  of litigation in the State court system.  My legislation would essentially du plicate language which is contained in  a 1983 agreement between the United  States and Mexico on cooperation for  the protection and  improvement of  the environment in the border area.  The agreement, which was signed by  the Presidents of both countries, pro vides generally for mutual cooperation  in preventing or reducing sources of  pollution in their respective territory  which affect the border area of the  other. The border area is defined as  the area situated 100 kilometers-or 60  miles-on  either  side  of  the Rio  Grande.  The 1983 agreement, and my bill,  recognize the need for both countries  to act  responsibly  in respecting our  shared border area environment. Cer tainly, the location or a low-level dis posal facility within the defined area in this case an international waterway  that  is  fed by  several  surface and  ground  water  sources,  the  Rio  Grande-violates  the  intent  of  the  agreement and poses a risk to the nat ural resource H.R. 791  seeks to pro tect.  Congress has only recently begun to  recognize the need to agressively safe guard against ground water contami nation. With this legislation, Congress  would be demonstrating an apprecia tion for the role we all must play in ac knowledging  the  interdependence  which so characterizes our border area  environment.  Finally, Mr. Speaker, I am aware of  the  general  unwillingness  of  some  within this House to revisit an issue the  disposal  of  low-level  nuclear  waste-which many  feel has already  been disposed  of. The  situation  in  Texas  underscores,  at  least  in my  mind, that Congress cannot afford to  duck its ultimate responsibility for the  threat posed  to our population by  problems associated with the disposal  of such waste when this problem is the  direct result of policies pursued at the  Federal level.  I am hopeful that testimony devel oped during committee consideration  of  this  bill would  articulate more  clearly  the need for a more careful  monitoring of the actions of the States  in addressing this problem. Just as im",1988
56,202,1,Mr. BYRD.," Mr. President, action on  the INF Treaty, as the country is well  aware, has commenced in the Senate,  and it is certain to dominate our work,  the news, and  the attention of our  allies, friends, and our chief adversary  well into the spring. It will command  the substantial energy and resources  of the full Senate on this floor for a  number of weeks. Such an agreement  is well deserving of our attention, for  it is  the first major arms reduction  agreement in nearly a decade.  From preliminary  indications  and  study, I am favorable inclined toward  this accord, although  its complexity  and import merit careful examination.  We must consider carefully what this  treaty represents and what lessons it  will mean for the future. This treaty,  whatever its merits and whatever its  flaws, represents an attempt to turn  back the tactics of intimidation exer cised by the very same power which  has cosigned this document with the  United States. It is a victory for the  West because we stood together under  pressure by an antagonist over a long  period of time.  But now we must answer this ques tion: Where goes the alliance? Is the  threat which  brought  us  together  somewhat dissipated with the advent  of a dynamic, and stylistic new, PR conscious Soviet leader? Mr. President,  the  success or  failure  of  the  INF  Treaty  is  in  its most  important re spects  future  oriented.  How  will  NATO behave? How will the Warsaw  Pact countries behave? What will the  West need to maintain and, if possible,  increase our credible deterrence of any  Soviet bloc temptation to test us? I of fered an amendment to the fiscal year  1988 DOD authorization bill this past  September 26, 1987, asking the Secre tary of Defense to analyze this ques tion  in depth  and  to  provide  the  Senate with his analysis at the same  time as any INF Treaty was submitted  to  the Senate. My purpose was not  only to review this situation anew, but  to make the point of the integrated  nature of  the INF Treaty with  the  future of NATO. I am pleased that the  Secretary was able to produce a sound  study along  these  lines, and I  shall  share the unclassified version of that  report with my colleagues today.  The study addresses the full range  of key questions confronting NATO,  including the future of the strategy of  flexible response, and the moderniza tion of both nuclear and nonnuclear  forces in Europe. It clearly recognizes  that we must do better, that we must  be more efficient, more creative, that  we must work more closely in tandem  with our allies, and, most importantly,  that we must sustain the political will  to  take whatever steps necessary  to  ensure the security of our allies and  our own national security. The Kremlin will certainly seek to engender an  air of euphoria about East-West rela tions  in order  to undermine the re solve of NATO citizens to make diffi cult choices in spending for defense.  The Soviets have already been quick  to portray NATO modernization meas ures  as  circumvention  of  the  INF  Treaty  and  counterproductive  to  future arms agreements, while, at the  same time continuing to improve their  own-meaning  the  Soviets  and  Warsaw Pact countries-offensive ca pabilities. The  report  addresses  in  detail the tasks ahead of us, and out lines a ""framework for a NATO de fense  program  directed  toward  strengthening flexible response in all  of its dimensions.""  Mr. President, I commend the Secre tary for this study. I intend to follow  it up in detail and to discuss its impli cations with our European allied lead ers over  the February recess. Going  with me on that journey will be the  distinguished chairmen of each of the  three committees which will be han dling the brunt of the work in examin ing this treaty and its implications. I  have reference to Mr. PELL, chairman  of the Foreign Relations Committee;  Mr. NUNN,  chairman of  the Armed  Services Committee; and Mr. BOREN,  chairman of the Intelligence Commit tee, as well as Mr. WARNER, the distin guished ranking member of the Armed  Services Committee and a member of  the  Intelligence Committee.  These  Senators will accompany me, we will  be examining three broad areas of in quiry; among others: First, to evaluate  the candid assessments of European  leaders as to the advantages and disad vantages of the INF accord; second, to  discuss  their assessment-the assess ment of European leaders-of Soviet  strategy and  tactics vis-a-vis NATO  during the current period and for the  immediate future; and, third, to assess  the  implications for NATO weapons  modernization,  planning  and  arms  control strategy in a post-INF treaty  environment, assuming  the  treaty  is  approved  for  ratification.  In other  words, where do we go from there?  We will be meeting with European  political leaders, both those in power  and those in the opposition, as well as  military officials, opinion makers, and  experts out of government. I intend to  share a comprehensive assessment of  my findings upon my return and hope  that it will contribute to our under standing of the virtues, and possibly  the dangers, of  the  treaty  that we  have just begun to consider. The De fense Department report ""Support of  NATO Strategy  in  the 1990's,"" will  help  to  focus  the attention of  the  Senate on the ramifications of treaty  enactment for  the Western alliance.  Does enactment of  the  treaty bode  well for the future of NATO? That, in  the  final  analysis,  is  an  important  point  in enacting  the  treaty,  in approving  the  ratification  thereof-to  make  the Western  alliance more  secure for the coming decades.  Mr. President, I ask unanimous con sent that this unclassified report be  printed in the RECORD.  There being no objection, the report  was  ordered  to  be  printed  in  the  RECORD, as follows:  SUPPORT OF NATO STRATEGY IN THE 1990's  <A Report to the United States Congress in  Compliance With Public Law 100-180)  THE SECRETARY OF DEFENSE,  Washington, DC, January 25, 1988.  To the Congress of the United States:  This Report  is  in  response  to  require ments in the National Defense Authoriza tion Act for Fiscal Years 1988-1989, of De cember 4, 1987, that I discuss the ability of  the North Atlantic Treaty Organization  <NATO>  to maintain its strategy of deter rence through the 1990s.  Our confidence  in maintaining the Alli ance's  flexible  response  strategy  is  ex plained in President Reagan's January 1988  National Security Strategy Report. Before  entering into our agreement with the Sovi ets we made sure that from the standpoint  of  the military  implications of  the  INF  Treaty, NATO's resulting  force  structure  would be fully capable of supporting deter rence-provided that we vigorously pursue  the necessary modernization, and make ef fective  use  of  the  gains  in  capability  achieved over the last few years.  Consistent with the President's guidance,  this report outlines a framework for achiev ing what  the National Security Strategy  states must be accomplished  to maintain  the credibility and viability of NATO forces  and strategy. The U.S. is prepared to work  in close consultation with our allies to carry  out a NATO Defense Program to achieve  these objectives.  I am confident that the Congress will sup port both what we propose, and the INF  Treaty.  FRANK C. CARLUCCI.  OVERVIEW  Purpose  The following  report concerns U.S. and  allied planning for the future security pos ture of the North Atlantic Treaty Organiza tion.  It responds to the Congressional request  <spelled out in the Appendix> that the Sec retary of Defense discuss how Intermediate Range Nuclear Forces <INF) missile reduc tions  fit with NATO objectives and how  they  relate  to  the Alliance's flexible  re sponse strategy. In so doing, the report re flects consultation with NATO's Supreme  Allied Commander, Europe <SACEUR> and  the Chairman of the Joint Chiefs of Staff.  includes  seven  supporting  sections  matched to specific questions from the Con gress. This Overview discusses these impor tant matters involving flexible response, de fense requirements, arms control and devel oping programs. All involve issues which are  integral to the support of NATO and Ameri ca's overall strategy-aimed at bolstering de terrence, strengthening our alliances, and  decreasing Soviet military advantages.  It  The INF Agreement  The INF Treaty provides for the U.S. and  the Soviet Union  to  eliminate  all  their  ground-launched  missile  systems  with  ranges between 500 and 5,500 kilometers,  worldwide.  ",1988
57,215,1,Mr. BYRD., I yield the floor.  The ACTING PRESIDENT pro tem pore. The majority leader . yields the  floor.  Mr. EV ANS addressed the Chair.  The ACTING PRESIDENT pro tem pore. The Senator from Washington  [Mr. EVANS] is recognized.  ,1988
58,215,1,Mr. EVANS.," Thank you, Mr. Presi dent,  AVIATION HISTORY  ",1988
59,215,1,Mr.  EVANS.," Mr.  President,  on  Monday of this week, aviation leaders  gathered in Seattle for two important  events. First, to celebrate the rollout  of the two newest models of Boeing  airliners, the 747-400 and the 737-400;  Second  to  recognize  the remarkable  career of ""T"" Wilson on his retirement  as  chairmen  of  the  board  of  the  Boeing Co.  In all fields of human endeavor, the  most enduring legacy is achievement  and  the most honored  tradition  is  trust. It is this legacy and this tradi tion that T.A. Wilson leaves to those  who will follow him at the helm of the  Boeing Co. as he moves  into a new  career of busy retirement.  ""T"", as he is known to his friends,  was born in Missouri, the home, iron ically, of one of Boeing's biggest com petitors. During his briliant career, he  truly  lived  the motto of that great  State as he  showed everyone what  first class management  talent could  accomplish.  The Boeing Co.,  throughout ""T's""  career, has been the world's preemi nent producer and seller of commer cial  aircraft.  Today,  their market  share for free world sales continues to  exceed 50 percent despite major com petitive challenges both at home and  abroad. Sales  backlogs  continue  at  record breaking levels.  Recently the company was awarded  a major contract  to build America's  Space Station. Thus Boeing continues  as a world leader in space, national se curity and civilian, air transport.  At a time when we are enthralled by  a crisis of competitiveness, ""T's"" ef forts at Boeing are a shining example  of American industry at its best. Be cause he insisted on research, he en sured that Boeing would stay on the  leading edge of  technology. Because  he insisted on quality, he ensured that  Boeing stayed in the forefront of sales.  We can compete as Americans. Just  ask ""T.""  In a career filled with awards, acco lades, and successes, three accomplish ments stand out. ""T"" should perhaps  be proudest of his contributions to the  security of our country through his  work on two of the mainstays of our  strategic arsenal, the B-52 bomber and  the Minuteman ICBM. These two pro grams are still heralded by military  procurement  experts  as models  of  public-private partnership.  For his second major achievement, I  turn the clock back to the aerospace  recession of 1969, a particularly pain ful time in the State of Washington. I  know,  I was Governor at  the  time.  Through decisive and innovative man agement  action,  ""T""  preserved  Boeing's manufacturing base and laid  the groundwork  for  the  immensely  successful years which followed.  For his  third major achievement,  ""T"" and Boeing received the prestigi ous Collier Trophy. In the mid-1970's,  as foreign government supported ef forts to crack the commercial aviation  market  intensified  throughout  the  world, Boeing, under ""T's"" leadership,  boldly undertook to develop privately  a new family of long-range, fuel effi cient aircraft: the 757 and 767. The re sounding commercial success of these  aircraft is a  testament to the coura geous vision of T.A. Wilson.  Although ""T"" will be stepping out of  the pilot's seat at Boeing, he will still  be in a position to advise the new man agement from his chair at the board of  director's table. He will still be in the  front row as Boeing moves toward the  21st century as not only a commercial  aviation giant, but as a major defense  contractor and space technology inno vator.  QUORUM CALL  ",1988
60,215,1,Mr. BYRD.," Mr. President, I suggest  the absence of a quorum.  The ACTING PRESIDENT pro tem pore. The clerk will call the roll.  The legislative clerk called the roll  and the following Senators answered  to their names:  [Quorum No. 2J  Breaux  Byrd  Evans  The ACTING PRESIDENT pro tem pore. A quorum is not present.  The clerk will  call  the names of  absent Senators.  ",1988
61,215,1,Mr. BYRD.," Mr. President,  I move  that the Sergeant at Arms be instruct ed to request the attendance of absent  Senators, and I ask for the yeas and  nays on the motion.  The ACTING PRESIDENT pro tem pore. Is there a sufficient second?  There is a sufficient second.  The yeas and nays were ordered.  The ACTING PRESIDENT pro tem pore. The question is on agreeing to  the motion. On this question, the yeas  and nays have been ordered, and the  clerk will call the roll.  The legislative clerk called the roll.  ",1988
62,215,1,Mr. CRANSTON.,"  I announce  that  the  Senator  from  Tennessee  [Mr.  GORE], the Senator from Hawaii [Mr.  MATSUNAGA], and the Senator from Il linois  [Mr.  SIMON]  are  necessarily  absent.  I  also announce  that the Senator  from Nebraska [Mr. ExoN]  is absent  because of illness.  ",1988
63,215,1,Mr. SIMPSON.," I announce that the  Senator from Mississippi  [Mr. CocH RAN],  the Senator from Kansas [Mr.  DoLE], and the Senator from Pennsyl vania  [Mr. HEINZ]  are  necessarily  absent.  I  also announce  that the Senator  from Alaska  [Mr. MURKOWSKI]  and  the  Senator  from Wyoming  [Mr.  WALLOP]  are absent on official busi ness.  I further announce that, if present  and voting,  the Senator from Wyo ming [Mr. WALLOP] would vote ""nay.""  The ACTING PRESIDENT pro tem pore. Are there any other Senators in  the Chamber who desire to vote?  The result was announced-yeas 76,  nays 15, as follows:  [Rollcall Vote No. 2 Leg.]  YEAS-76  Adams  Armstrong  Baucus  Bentsen  Biden  Bingaman  Boren  Boschwitz  Bradley  Breaux  Bumpers  Burdick  Byrd  Chiles  Conrad  Cranston  D'Amato  Danforth  Daschle  DeConcini  Dixon  Dodd  Domenici  Duren berger  Evans  Ford  Bond  Chafee  Cohen  Gramm  Hecht  Cochran  Dole  Exon  Fowler  Garn  Glenn  Graham  Grassley  Harkin  Hatch  Hatfield  Heflin  Hollings  Humphrey  Inouye  Johnston  Kassebaum  Kennedy  Kerry  Lau ten berg  Leahy  Levin  Lugar  McClure  Melcher  Metzenbaum  Mikulski  Mitchell  Moynihan  Nunn  Packwood  Pell  Pressler  Proxmire  Pryor  Reid  Riegle  Rockefeller  Roth  Rudman  Sanford  Sarbanes  Sasser  Shelby  Simpson  Stafford  Stennis  Stevens  Thurmond  Trible  Warner  Wilson  Wirth  NAYS-15  Helms  Karnes  Kasten  McCain  McConnell  Nickles  Quayle  Specter  Symms  Weicker  NOT VOTING-9  Gore  Heinz  Matsunaga  Murkowski  Simon  Wallop  So the motion was agreed to.  ",1988
64,215,1,Mr. BYRD.," Mr. President,  I  ask  unanimous consent that the regular  order be automatic on every rollcall, at  the close of 15 minutes, which is in ac cordance with the order of the Senate  on every rollcall vote today.  ",1988
65,228,1,The  PRESIDING  OFFICER.,  Is  there objection to the majority lead er's request for the vote to occur at  12:15?  ,1988
66,228,1,Mr. HATCH.," As I understand it, the  unanimous-consent  request  includes  the time equally divided between now  and 12:15.  ",1988
67,228,1,Mr. BYRD.," Yes, it would be equally  divided and the vote would occur at no  later than 12:15. I think we ought to  make it 12:15 and Senators know that  they have until 12:30 to get here.  ",1988
68,228,1,Mr. HATCH.,  It certainly will not  occur before 10 after 12 is what I am  saying.  ,1988
69,228,1,Mr.  THURMOND.," Madam  Presi dent, I have no objection as I stated  except I want to reserve the right to  speak 8 minutes.  ",1988
70,228,1,Mr. HATCH.," If it would be all right  with the distinguished floor manager,  the distinguished Senator from South  Carolina will take the last 8 minutes  before the vote.  ",1988
71,228,1,Mr. KENNEDY., I would be glad to  yield whatever time that I have to the  Senator from South Carolina.  ,1988
72,228,1,Mr. HATCH., Just so he knows so he  can have a schedule if he can take the  last 8 or 10 minutes before the vote.  ,1988
73,228,1,Mr. KENNEDY.," I would like to give  him 8 of  the last 12 minutes so we  have 4 minutes,  if necessary,  to  re spond.  ",1988
74,228,1,The PRESIDING OFFICER.," With out objection,  it  is so ordered. Who  yields time?  ",1988
75,228,1,Mr. KENNEDY., I yield such time as  the Senator from Ohio may need.  ,1988
76,228,1,The PRESIDING OFFICER., The  Senator from Ohio.  ,1988
77,228,1,Mr. METZENBAUM., Will the Sena tor  from Massachusetts  be  good  enough to yield to a couple of ques tions because  I  think there  is some  misunderstanding concerning the ap plicability of the law as it presently is  drafted. I think it might perhaps help  if he and I had a colloquy.  ,1988
78,228,1,Mr. KENNEDY., I welcome the op portunity to yield to the Senator.  ,1988
79,228,1,Mr. METZENBAUM.,"  I  thank  the  Senator.  I  have  several questions  I  would like to ask about the impact of  S. 557 on religious organizations. Let  me assume that a religious organiza tion, a church or diocese or synagogue,  receives Federal assistance for a limit ed purpose. The Federal assistance is  to  provide  assistance  to  homeless  people,  to aid  refugees or for some  other discrete purpose. Under S. 557  will  the  receipt of  such  assistance  result in coverage of the religious or ganization  in  its entirety so  that  it  would be under an obligation not to  discriminate in any of its operations?  ",1988
